"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press"
"vsl-grid-scene-snap","85","464323","0.0-5.0-2.0-27.0","","","[[""img/obj8.png"",""img/obj1.png"",""img/obj9.png""],[""img/obj5.png"",""img/obj12.png"",0],[""img/obj2.png"",0,0]]","","","1,2,2,1,1,3,3,1,5","65",""
"vsl-grid-scene-snap","86","469337","0.0-5.0-2.0-28.0","","","[[0,""img/obj9.png"",""img/obj5.png""],[""img/obj12.png"",0,""img/obj2.png""],[0,""img/obj11.png"",""img/obj6.png""]]","","","3,1,2,2,3,4,2,1,5","91",""
"vsl-grid-scene-snap","87","474336","0.0-5.0-2.0-29.0","","","[[""img/obj4.png"",""img/obj11.png"",""img/obj6.png""],[0,""img/obj3.png"",""img/obj7.png""],[0,0,""img/obj10.png""]]","","","3,2,1,2,1,4,1,1,6","130",""
"vsl-grid-scene-snap","88","479334","0.0-5.0-2.0-30.0","","","[[""img/obj11.png"",""img/obj6.png"",""img/obj7.png""],[0,""img/obj9.png"",""img/obj10.png""],[""img/obj12.png"",0,0]]","","","3,1,1,1,1,4,2,2,5","74",""
"vsl-grid-scene-snap","89","484332","0.0-5.0-2.0-31.0","","","[[""img/obj11.png"",""img/obj6.png"",0],[""img/obj7.png"",""img/obj4.png"",0],[""img/obj10.png"",0,""img/obj3.png""]]","","","1,2,1,1,1,4,2,2,6","70",""
"vsl-grid-scene-snap","90","489330","0.0-5.0-2.0-32.0","","","[[""img/obj11.png"",""img/obj6.png"",""img/obj5.png""],[""img/obj4.png"",0,""img/obj2.png""],[0,""img/obj3.png"",0]]","","","3,1,2,1,1,4,1,2,6","79",""
"vsl-grid-scene-snap","91","494328","0.0-5.0-2.0-33.0","","","[[""img/obj5.png"",""img/obj4.png"",0],[""img/obj2.png"",0,""img/obj3.png""],[""img/obj8.png"",""img/obj1.png"",0]]","","","1,1,2,1,3,3,2,1,6","29",""
"vsl-grid-scene-snap","92","499327","0.0-5.0-2.0-34.0","","","[[0,""img/obj11.png"",""img/obj6.png""],[0,""img/obj9.png"",""img/obj7.png""],[""img/obj12.png"",0,""img/obj10.png""]]","","","3,2,1,2,1,4,2,2,5","122",""
"vsl-grid-scene-snap","93","504325","0.0-5.0-2.0-35.0","","","[[0,""img/obj11.png"",""img/obj6.png""],[""img/obj5.png"",0,""img/obj9.png""],[""img/obj2.png"",""img/obj12.png"",0]]","","","1,2,2,2,1,4,3,2,5","39",""
"vsl-grid-scene-snap","94","509324","0.0-5.0-2.0-36.0","","","[[""img/obj11.png"",""img/obj6.png"",""img/obj7.png""],[0,""img/obj4.png"",""img/obj10.png""],[0,0,""img/obj3.png""]]","","","3,1,1,1,1,4,2,2,6","82",""
